name,swing precision,swing recall,swing fscore,woba
 Brian McCann,0.6744186046511628,0.5728395061728395,0.6194926568758344,0.286
 Neil Walker,0.7016574585635359,0.6737400530503979,0.6874154262516914,0.291
 Kurt Suzuki,0.6793785310734464,0.7332317073170732,0.7052785923753665,0.335
 Ian Desmond,0.7154326494201606,0.6986062717770035,0.7069193477302778,0.315
 Nelson Cruz Jr.,0.6647780925401322,0.686829268292683,0.6756238003838771,0.361
 Mark Trumbo,0.630527817403709,0.6960629921259842,0.6616766467065869,0.329
 David Peralta,0.7061524334251607,0.6710296684118674,0.6881431767337808,0.368
 Manny Pina,0.6744186046511628,0.6014814814814815,0.6358653093187158,0.301
 Alcides Escobar,0.6927651139742319,0.7221074380165289,0.7071320182094082,0.261
 Jon Jay,0.6651624548736462,0.6545293072824157,0.6598030438675022,0.301
 Martin Prado,0.680379746835443,0.5231143552311436,0.5914718019257221,0.263
 Lucas Duda,0.6400602409638554,0.6204379562043796,0.6300963676797627,0.315
 Matt Wieters,0.7006237006237006,0.6877551020408164,0.694129763130793,0.308
 Evan Longoria,0.7094017094017094,0.6700302724520686,0.689154125583809,0.295
 Zack Cozart,0.7306791569086651,0.6153846153846154,0.6680942184154176,0.289
 Brandon Guyer,0.7160804020100503,0.6801909307875895,0.6976744186046513,0.298
 Sean Rodriguez,0.7314285714285714,0.7052341597796143,0.7180925666199158,0.264
 Jose Lobaton,0.7739130434782608,0.7063492063492064,0.7385892116182572,0.218
 Rich Hill,0.6111111111111112,0.5641025641025641,0.5866666666666667,0.082
 Mark Reynolds,0.7573033707865169,0.7124735729386892,0.7342047930283225,0.342
 Chris Davis,0.6835699797160243,0.628731343283582,0.6550048590864916,0.239
 Junior Guerra,0.6,0.6716417910447762,0.6338028169014084,0.132
 Paulo Orlando,0.6528497409326425,0.7455621301775148,0.6961325966850829,0.176
 Jason Vargas,0.8048780487804879,0.5789473684210527,0.6734693877551021,0.15
 Ben Zobrist,0.7318840579710145,0.6041874376869392,0.6619333697433096,0.355
 James Adduci,0.655860349127182,0.7623188405797101,0.7050938337801608,0.291
 Dexter Fowler,0.745674740484429,0.6461769115442278,0.6923694779116466,0.26
 Tyler Flowers,0.7571157495256167,0.676271186440678,0.7144136078782453,0.315
 Chase Headley,0.7387387387387387,0.6119402985074627,0.6693877551020407,0.187
 Hunter Pence,0.6647058823529411,0.743421052631579,0.701863354037267,0.254
