name,precision,recall,fscore,woba
 Matt Olson,0.752865329512894,0.7344514325646401,0.7435443933498408,0.396
 Jake Burger,0.6842105263157895,0.624,0.6527196652719666,0.347
 Jack Suwinski,0.6857624262847515,0.8213925327951564,0.7474747474747475,0.333
 Alex Verdugo,0.6142292490118577,0.7785571142284569,0.6866990720282811,0.34
 Keibert Ruiz,0.6763224181360201,0.6605166051660517,0.6683260734287493,0.312
 J.D. Davis,0.7662790697674419,0.7314095449500555,0.7484383872799546,0.315
 Austin Hays,0.6760710553814002,0.694206008583691,0.6850185283218634,0.335
 Anthony Santander,0.7124463519313304,0.6571654790182107,0.6836902800658979,0.348
 Ozzie Albies,0.7727748691099476,0.6530973451327433,0.7079136690647482,0.35
 Lourdes Gurriel Jr.,0.6659707724425887,0.7057522123893806,0.6852846401718582,0.328
 Andres Gimenez,0.6940133037694013,0.5973282442748091,0.642051282051282,0.296
 Max Muncy,0.6648480124707716,0.77124773960217,0.7141063206362495,0.346
 Ty France,0.7394438722966015,0.6729147141518276,0.704612365063788,0.32
 Marcus Semien,0.7445956765412329,0.7894736842105263,0.7663782447466007,0.343
 James Outman,0.7221702525724977,0.7546432062561095,0.7380497131931167,0.347
 Enrique Hernandez,0.6776315789473685,0.7262044653349001,0.7010777084515032,0.275
 Mookie Betts,0.6911660777385159,0.8351836037574722,0.7563805104408352,0.428
 Spencer Torkelson,0.6874512860483243,0.7736842105263158,0.7280231118448205,0.326
 Bryan De La Cruz,0.7020295202952029,0.6605902777777778,0.6806797853309482,0.316
 Andrew McCutchen,0.6938250428816467,0.8147029204431017,0.7494210282538212,0.342
 Ronald Acuna Jr.,0.7282525019245574,0.7792421746293245,0.7528849980103463,0.421
 Tyler Stephenson,0.6676163342830009,0.7559139784946236,0.7090267271810387,0.314
 Manny Machado,0.6962025316455697,0.7093253968253969,0.7027027027027027,0.328
 Jeimer Candelario,0.7092819614711033,0.715547703180212,0.712401055408971,0.353
 Luis Rengifo,0.7641277641277642,0.716589861751152,0.7395957193816884,0.335
 Jurickson Profar,0.7001972386587771,0.7481559536354057,0.7233825776872135,0.3
 Corbin Carroll,0.6950354609929078,0.726598702502317,0.7104666968735841,0.376
 Austin Riley,0.715311004784689,0.7274939172749392,0.721351025331725,0.352
 Jake Cronenworth,0.6728452270620945,0.7355623100303952,0.7028073572120039,0.301
 Javier Baez,0.6846254927726675,0.5489989462592202,0.6093567251461989,0.254
 Myles Straw,0.604040404040404,0.7512562814070352,0.669652855543113,0.269
 Whit Merrifield,0.6930280957336108,0.6775178026449644,0.6851851851851852,0.322
 Esteury Ruiz,0.7080581241743725,0.6658385093167701,0.6862996158770805,0.283
 Eddie Rosario,0.70995670995671,0.574095682613769,0.6348387096774194,0.333
 Xander Bogaerts,0.6355799373040752,0.7447199265381084,0.6858350951374208,0.325
 Matt Chapman,0.6998394863563403,0.8089053803339518,0.7504302925989673,0.334
 Masataka Yoshida,0.6292237442922375,0.7376873661670236,0.6791522917693446,0.351
 Bryan Reynolds,0.7679558011049724,0.7406749555950266,0.7540687160940326,0.335
 Wander Franco,0.6583493282149712,0.7376344086021506,0.6957403651115619,0.349
 Tommy Edman,0.6485461441213654,0.7194950911640954,0.6821808510638299,0.313
 Carlos Correa,0.6774744027303754,0.728440366972477,0.7020335985853227,0.304
 Eugenio Suarez,0.695040710584752,0.7597087378640777,0.7259373792037108,0.314
 George Springer III,0.7222739981360671,0.7726819541375872,0.7466281310211946,0.322
 Luis Robert Jr.,0.7487745098039216,0.5943579766536965,0.6626898047722344,0.368
 Nolan Gorman,0.7497181510710259,0.7212581344902386,0.7352128247650636,0.335
 Lane Thomas,0.6671790930053805,0.7343485617597293,0.6991542488924687,0.349
 Carlos Santana,0.7275953859804791,0.7585568917668826,0.7427536231884058,0.319
 Leody Taveras,0.7157772621809745,0.7059496567505721,0.7108294930875576,0.311
 Kyle Tucker,0.7275922671353251,0.7848341232227488,0.7551299589603283,0.372
 Freddie Freeman,0.7595486111111112,0.7352941176470589,0.7472245943637916,0.414
 Alex Bregman,0.700960219478738,0.8124006359300477,0.752577319587629,0.353
 Nolan Arenado,0.6924528301886792,0.6624548736462094,0.6771217712177121,0.336
 J.T. Realmuto,0.7040816326530612,0.6877076411960132,0.6957983193277311,0.333
 Hunter Renfroe,0.7121693121693121,0.6604514229636899,0.685336048879837,0.311
 Michael Harris II,0.6653645833333334,0.6316440049443758,0.6480659480025365,0.34
 Anthony Volpe,0.6888246628131022,0.7200402819738168,0.7040866568193009,0.305
 Ha-Seong Kim,0.6058495821727019,0.8048103607770583,0.6912991656734206,0.348
 Ryan Mountcastle,0.7338935574229691,0.605080831408776,0.6632911392405063,0.337
 Trea Turner,0.7415215398716773,0.6513687600644122,0.6935276468066865,0.324
 Francisco Lindor,0.7212171052631579,0.7338912133891213,0.7274989630858564,0.34
 Willy Adames,0.7359187442289935,0.6742808798646363,0.7037527593818985,0.301
 Kyle Schwarber,0.6746835443037975,0.7764020393299345,0.7219776498476126,0.343
 Dansby Swanson,0.7239263803680982,0.7619926199261993,0.7424719101123596,0.325
 Elias Diaz,0.7571059431524548,0.6446644664466447,0.6963755199049316,0.314
 Jorge Soler,0.7322970639032815,0.7361111111111112,0.7341991341991342,0.356
 Christian Yelich,0.7240031274433151,0.7553017944535073,0.7393213572854291,0.348
 Spencer Steer,0.668199233716475,0.759581881533101,0.710966163880962,0.352
 Josh Jung,0.7352941176470589,0.6706008583690987,0.701459034792368,0.346
 Rafael Devers,0.7794970986460348,0.6661157024793388,0.7183600713012477,0.359
 Ketel Marte,0.6951640759930915,0.7594339622641509,0.7258791704238051,0.355
 Jeff McNeil,0.7426067907995619,0.7055150884495317,0.7235859124866597,0.311
 Shohei Ohtani,0.7412060301507538,0.7034976152623211,0.7218597063621532,0.433
 Justin Turner,0.6685348278622898,0.7549728752260397,0.7091295116772822,0.359
 Ian Happ,0.7116654438738078,0.7722929936305732,0.7407407407407408,0.347
 Pete Alonso,0.676056338028169,0.7331536388140162,0.703448275862069,0.359
 Andrew Benintendi,0.6976076555023923,0.7304609218436874,0.7136563876651981,0.309
